period,planet_radius,semimajor_axis,color,id,tech,label,year,yearY
0,60,0,#fe6a6a,1,Front-End,-0.097,,
52.49157,32.24588,0.2477701,#61DAFB,1,React,0.3097126,2013,-0.235
21.56353,14.35592,0.1982161,#41B883,1,Vue,0.23,2014,-0.185
71.18847,2.509138,0.3468781,#EE4C37,1,Ember,0.36,2011,-0.335
96.91719,11.88383,0.3964321,#DF2E31,1,Angular,0.43,2010,-0.385
43.62422,1.570681,0.148662,#F7527A,1,Polymer,0.16,2015,-0.135
0,60,0,#fe6a6a,2,Back-End,-0.087,,
56.50572,4.549047,0.2973241,#DE4F4F,2,Meteor,0.32,2012,-0.285
63.03238,15.86486,0.3964321,#5A9E45,2,Express,0.43,2010,-0.385
29.35905,8.40166,0.09910803,#1882FF,2,Next,0.12,2016,-0.085
58.43001,7.364418,0.2477701,#56CEC6,2,Koa,0.27,2013,-0.235
110.3324,1.654648,0.2973241,#14A7BC,2,Sails,0.31,2012,-0.285
171.8676,1.555863,0.3468781,#30D8A0,2,Feathers,0.36,2011,-0.335
0,60,0,#fe6a6a,3,Data,-0.043,,
37.40255,46.90803,0.148662,#764ABC,3,Redux,0.22,2015,-0.135
16.10404,20.27067,0.148662,#E535AB,3,GraphQL,0.19,,
52.32877,1.05206,0.148662,#F16B02,3,Relay,0.17,,
47.33692,5.561592,0.148662,#E05E12,3,MobX,0.17,,
28.45138,10.99476,0.09910803,#290B9F,3,Apollo,0.12,2016,-0.085
0,60,0,#fe6a6a,4,Flavors,-0.076,,
62.44911,2.301689,0.3468781,#97CA4E,4,Clojure,0.36,2011,-0.335
33.59774,4.307024,0.2973241,#61B4CC,4,Elm,0.31,2012,-0.285
41.4877,10.18967,0.1982161,#FAB665,4,Flow,0.225,2014,-0.185
29.75165,46.51289,0.1982161,#2671BF,4,TypeScript,0.27,,-0.185
112.9799,85.93302,0.148662,#EFDB50,4,ES6,0.22,2015,-0.135
45.33363,5.502321,0.148662,#DD4C39,4,Reason,0.17,,-0.135
0,60,0,#fe6a6a,5,Testing,-0.076,,
40.72003,28.09444,0.3964321,#8A4182,5,Jasmine,0.452,2010,-0.385
38.65216,38.85706,0.3468781,#8D6748,5,Mocha,0.415,2011,-0.335
53.44773,18.14679,0.3468781,#57C5A8,5,Karma,0.38,,-0.335
34.182,39.05463,0.2477701,#99425B,5,Jest,0.315,2013,-0.235
116.6916,3.976094,0.1982161,#E1D0CB,5,Ava,0.21,2014,-0.185
56.09864,19.93974,0.148662,#62B538,5,Enzyme,0.19,2015,-0.135
42.48007,15.23758,0.09910803,#F1618C,5,Storybook,0.13,2016,-0.135
